Adams State University	Adams State University is a public institution.   Adams State University's ranking in the 2021 edition of Best Colleges is Regional Universities West, #95-#124. Its in-state tuition and fees are $9,440; out-of-state tuition and fees are $20,864.
Abilene Christian University	Abilene Christian University is a private institution that was founded in 1906. It has a total undergraduate enrollment of 3,525, its setting is city, and the campus size is 262 acres. It utilizes a semester-based academic calendar. Abilene Christian University's ranking in the 2021 edition of Best Colleges is Regional Universities West, #15. Its tuition and fees are $37,800.
Abraham Baldwin Agricultural College	Abraham Baldwin Agricultural College is a public institution that was founded in 1908. It has a Rural setting, and the campus size is 400 acres. It utilizes a semester-based academic calendar. Abraham Baldwin Agricultural College's ranking in the 2021 edition of Best Colleges is Regional Colleges South, #70-#91. Its in-state tuition and fees are $3,565; out-of-state tuition and fees are $10,471.
Academy of Art University	Academy of Art University is a proprietary institution that was founded in 1929. It has a total undergraduate enrollment of 6,694, and the setting is Urban. It utilizes a semester-based academic calendar. Academy of Art University's ranking in the 2021 edition of Best Colleges is Regional Universities West, #95-#124. Its tuition and fees are $30,630.
Acadia University	Acadia University is a public institution.    
Adrian College	Adrian College is a private institution that was founded in 1859. It has a total undergraduate enrollment of 1,780, its setting is city, and the campus size is 132 acres. It utilizes a semester-based academic calendar. Adrian College's ranking in the 2021 edition of Best Colleges is Regional Colleges Midwest, #17. Its tuition and fees are $38,730.
Adventist University of Health Sciences	Adventist University of Health Sciences is a private institution.    
Adelphi University	Adelphi University is a private institution that was founded in 1896. It has a total undergraduate enrollment of 5,360, its setting is suburban, and the campus size is 75 acres. It utilizes a semester-based academic calendar. Adelphi University's ranking in the 2021 edition of Best Colleges is National Universities, #170. Its tuition and fees are $41,435.
Alabama Agricultural and Mechanical University	Alabama Agricultural and Mechanical University is a public institution that was founded in 1875. It has a total undergraduate enrollment of 5,273, its setting is urban, and the campus size is 1,173 acres. It utilizes a semester-based academic calendar. Alabama Agricultural and Mechanical University's ranking in the 2021 edition of Best Colleges is Regional Universities South, #103-#133. Its in-state tuition and fees are $10,024; out-of-state tuition and fees are $18,634.
Agnes Scott College	Agnes Scott College is a private institution that was founded in 1889. It has a total undergraduate enrollment of 1,005, its setting is urban, and the campus size is 100 acres. It utilizes a semester-based academic calendar. Agnes Scott College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #61. Its tuition and fees are $44,250.
Alabama State University	Alabama State University is a public institution that was founded in 1867. It has a total undergraduate enrollment of 3,750, its setting is urban, and the campus size is 172 acres. It utilizes a semester-based academic calendar. Alabama State University's ranking in the 2021 edition of Best Colleges is Regional Universities South, #94. Its in-state tuition and fees are $11,068; out-of-state tuition and fees are $19,396.
Alaska Pacific University	Alaska Pacific University is a private institution that was founded in 1959. It has a total undergraduate enrollment of 337, its setting is city, and the campus size is 170 acres. It utilizes a semester-based academic calendar. Alaska Pacific University's ranking in the 2021 edition of Best Colleges is Regional Universities West, #88. Its tuition and fees are $20,760.
Albany College of Pharmacy and Health Sciences	Albany College of Pharmacy and Health Sciences is a private institution that was founded in 1881. It has a total undergraduate enrollment of 794, its setting is city, and the campus size is 35 acres. It utilizes a semester-based academic calendar.  Its tuition and fees are $36,745.
