row_index,school_name,n_category,n_grade
145,Albion College,Value,A
146,Albion College,Diversity,A-
147,Albion College,Campus,C
148,Albion College,Athletics,B-
149,Albion College,Party Scene,B
150,Albion College,Professors,A
151,Albion College,Location,D
152,Albion College,Dorms,C
153,Albion College,Campus Food,C+
154,Albion College,Student Life,B-
155,Albion College,Safety,C+
156,Albright College,Academics,B-
157,Albright College,Value,B
158,Albright College,Diversity,A
159,Albright College,Campus,C-
160,Albright College,Athletics,B-
161,Albright College,Party Scene,B-
162,Albright College,Professors,C+
163,Albright College,Location,C-
164,Albright College,Dorms,D+
165,Albright College,Campus Food,C+
166,Albright College,Student Life,C-
167,Albright College,Safety,C
168,Alcorn State University,Academics,B-
169,Alcorn State University,Value,C+
170,Alcorn State University,Diversity,B
171,Alcorn State University,Campus,B-
172,Alcorn State University,Athletics,B+
173,Alcorn State University,Party Scene,B
174,Alcorn State University,Professors,A-
175,Alcorn State University,Location,D-
176,Alcorn State University,Dorms,B
177,Alcorn State University,Campus Food,A-
178,Alcorn State University,Student Life,C+
179,Alcorn State University,Safety,B-
180,Alderson Broaddus University,Academics,B-
181,Alderson Broaddus University,Value,B-
182,Alderson Broaddus University,Diversity,A
183,Alderson Broaddus University,Campus,D
184,Alderson Broaddus University,Athletics,B+
185,Alderson Broaddus University,Party Scene,C
186,Alderson Broaddus University,Professors,C+
187,Alderson Broaddus University,Location,D
188,Alderson Broaddus University,Dorms,C+
189,Alderson Broaddus University,Campus Food,C-
190,Alderson Broaddus University,Student Life,C-
191,Alderson Broaddus University,Safety,B-
192,Alfred University,Academics,B+
193,Alfred University,Value,A-
194,Alfred University,Diversity,A
195,Alfred University,Campus,C
196,Alfred University,Athletics,B-
197,Alfred University,Party Scene,B
198,Alfred University,Professors,A-
199,Alfred University,Location,B-
200,Alfred University,Dorms,B-
201,Alfred University,Campus Food,C-
202,Alfred University,Student Life,B
203,Alfred University,Safety,B-
204,Avila University,Academics,B
205,Avila University,Value,B
206,Avila University,Diversity,A
207,Avila University,Campus,B+
208,Avila University,Athletics,B-
209,Avila University,Party Scene,B-
210,Avila University,Professors,B-
211,Avila University,Location,B+
212,Avila University,Dorms,B
213,Avila University,Campus Food,B
214,Avila University,Student Life,B
215,Avila University,Safety,B+
216,Azusa Pacific University,Academics,A-
217,Azusa Pacific University,Value,A-
218,Azusa Pacific University,Diversity,A-
219,Azusa Pacific University,Campus,B-
220,Azusa Pacific University,Athletics,B
221,Azusa Pacific University,Party Scene,C-
222,Azusa Pacific University,Professors,A-
223,Azusa Pacific University,Location,C-
224,Azusa Pacific University,Dorms,B
225,Azusa Pacific University,Campus Food,B
226,Azusa Pacific University,Student Life,B-
227,Azusa Pacific University,Safety,B-
228,Babson College,Academics,A
229,Babson College,Value,A+
230,Babson College,Diversity,A
231,Babson College,Campus,B-
232,Babson College,Athletics,B
233,Babson College,Party Scene,B-
234,Babson College,Professors,B+
235,Babson College,Location,B-
236,Babson College,Dorms,B
237,Babson College,Campus Food,C+
238,Babson College,Student Life,B+
239,Babson College,Safety,B+
240,Bacone College,Academics,C
241,Bacone College,Value,C-
242,Bacone College,Diversity,A
243,Bacone College,Campus,D-
244,Bacone College,Athletics,B-
245,Bacone College,Party Scene,NG
246,Bacone College,Professors,C
247,Bacone College,Location,C
248,Bacone College,Dorms,D-
249,Bacone College,Campus Food,C
250,Bacone College,Student Life,D
251,Bacone College,Safety,C
252,Bakersfield College,Academics,C-
253,Bakersfield College,Value,C+
254,Bakersfield College,Diversity,B
255,Bakersfield College,Campus,C-
256,Bakersfield College,Athletics,C+
257,Bakersfield College,Party Scene,C-
258,Bakersfield College,Professors,C+
259,Bakersfield College,Location,C-
260,Bakersfield College,Dorms,NG
261,Bakersfield College,Campus Food,NG
262,Bakersfield College,Student Life,C-
263,Bakersfield College,Safety,C+
264,Baker University,Academics,B
265,Baker University,Value,A-
266,Baker University,Diversity,B
267,Baker University,Campus,B-
268,Baker University,Athletics,B
269,Baker University,Party Scene,B-
270,Baker University,Professors,B-
271,Baker University,Location,C
272,Baker University,Dorms,B
273,Baker University,Campus Food,C
274,Baker University,Student Life,B
275,Baker University,Safety,A-
276,Baldwin Wallace University,Academics,B+
277,Baldwin Wallace University,Value,A-
278,Baldwin Wallace University,Diversity,A-
279,Baldwin Wallace University,Campus,B
