row_index,school_name,usn_category,usn_rank
107,Anderson University,Top Performers on Social Mobility,129
108,Anderson University,Best Undergraduate Engineering Programs,204
109,Anderson University,Regional Universities South,42
110,Anderson University,Best Undergraduate Teaching,11
111,Anderson University,Best Value Schools,26
112,Anderson University,Most Innovative Schools,16
113,Anderson University,Top Performers on Social Mobility,64
114,Andrews University,Top Performers on Social Mobility,303
115,Angelo State University,Regional Universities West,91
116,Angelo State University,Top Performers on Social Mobility,81
117,Angelo State University,Top Public Schools,47
118,Anna Maria College,Top Performers on Social Mobility,26
119,Asbury University,Regional Universities South,9
120,Asbury University,Best Colleges for Veterans,5
121,Asbury University,Best Undergraduate Teaching,15
122,Asbury University,Best Value Schools,12
123,Asbury University,Top Performers on Social Mobility,33
124,Ashland University,Regional Universities Midwest,51
125,Ashland University,Best Colleges for Veterans,33
126,Ashland University,Best Value Schools,39
127,Ashland University,Top Performers on Social Mobility,44
128,Assumption University,Regional Universities North,43
129,Assumption University,Best Undergraduate Teaching,11
130,Assumption University,Best Value Schools,28
131,Assumption University,Top Performers on Social Mobility,141
132,Auburn University,National Universities,97
133,Auburn University,Best Colleges for Veterans,63
134,Auburn University,Best Undergraduate Teaching,61
135,Auburn University,Best Value Schools,156
136,Auburn University,Most Innovative Schools,35
137,Auburn University,Top Performers on Social Mobility,381
138,Auburn University,Top Public Schools,40
139,Auburn University,Best Undergraduate Engineering Programs,53
140,Auburn University,First-Year Experiences,27
141,Auburn University at Montgomery,Regional Universities South,73
142,Auburn University at Montgomery,Best Undergraduate Teaching,15
143,Auburn University at Montgomery,Most Innovative Schools,16
144,Auburn University at Montgomery,Top Performers on Social Mobility,99
145,Auburn University at Montgomery,Top Public Schools,31
146,Appalachian State University,Regional Universities South,6
147,Appalachian State University,Best Colleges for Veterans,3
148,Appalachian State University,Best Undergraduate Teaching,2
149,Appalachian State University,Best Value Schools,21
150,Appalachian State University,Most Innovative Schools,1
151,Appalachian State University,Top Performers on Social Mobility,60
152,Appalachian State University,Top Public Schools,3
153,Appalachian State University,First-Year Experiences,8
154,Appalachian State University,Learning Communities,7
155,Aquinas College,Top Performers on Social Mobility,75
156,Arizona Christian University,Regional Colleges West,14
157,Arizona Christian University,Best Undergraduate Teaching,1
158,Arizona Christian University,Best Value Schools,9
159,Arizona Christian University,Top Performers on Social Mobility,3
160,Arizona State University at Tempe,National Universities,103
161,Arizona State University at Tempe,Best Colleges for Veterans,68
162,Arizona State University at Tempe,Best Undergraduate Teaching,16
163,Arizona State University at Tempe,Best Value Schools,131
164,Arizona State University at Tempe,Most Innovative Schools,1
165,Arizona State University at Tempe,Top Performers on Social Mobility,191
166,Arizona State University at Tempe,Top Public Schools,46
167,Arizona State University at Tempe,Analytics,8
168,Arizona State University at Tempe,Management,10
169,Arizona State University at Tempe,Management Information Systems,12
170,Arizona State University at Tempe,Marketing,12
171,Arizona State University at Tempe,Quantitative Analysis,10
172,Arizona State University at Tempe,Supply Chain Management / Logistics,3
173,Arizona State University at Tempe,Best Undergraduate Engineering Programs Biomedical Civil Computer Electrical / Electronic / Communications Industrial / Manufacturing Mechanical,42
174,Arizona State University at Tempe,First-Year Experiences,9
175,Arizona State University at Tempe,Senior Capstone,19
176,Arkansas Baptist College,Top Performers on Social Mobility,76
177,Arkansas State University,Top Performers on Social Mobility,209
178,Arkansas State University,Best Undergraduate Engineering Programs,123
179,Arkansas Tech University,Regional Universities South,80
180,Arkansas Tech University,Top Performers on Social Mobility,91
181,Arkansas Tech University,Top Public Schools,35
182,Arkansas Tech University,Best Undergraduate Engineering Programs,157
183,Augsburg University,Regional Universities Midwest,21
184,Augsburg University,Best Colleges for Veterans,14
185,Augsburg University,Best Undergraduate Teaching,7
186,Augsburg University,Best Value Schools,15
187,Augsburg University,Most Innovative Schools,3
188,Augsburg University,Top Performers on Social Mobility,7
189,Augustana College,National Liberal Arts Colleges,96
190,Augustana College,Best Undergraduate Teaching,43
191,Augustana College,Best Value Schools,66
192,Augustana College,Most Innovative Schools,42
193,Augustana College,Top Performers on Social Mobility,94
