College,Uuid
American University,91451c36-ddf8-4179-9ef1-2398f341386e
Ameritech College of Healthcare,d621cd26-ff82-4b12-a2da-4c783d96b597
Amherst College,127ec524-4bac-4a5c-a7f5-1ead9c309f44
Amridge University,aba09412-4c35-45b0-af35-604e83d37af0
Ancilla College,f8a7f18a-7747-43d6-b878-f759b4aa6dd8
Anderson University - Indiana,b30e64cd-f2a2-45ea-9dd2-f0de7fcc1c6f
Anderson University - South Carolina,b141ce15-8707-41a5-830b-eb5af41a0895
Andrew College,7b6e77c2-cf94-4c4a-bd02-444c70fbacf5
Andrews University,7b358a5b-c886-44ea-9bb4-e600eb8af12f
Angelina College,4b5367c3-c55d-48e9-bbff-14a8abc5fb7b
Angelo State University,cd7b7a4f-46cf-4237-aba7-e5afa99d9283
Anna Maria College,4a82d471-79cc-4901-860a-391fcf0b9d39
Anne Arundel Community College,603e6c98-fc9e-4a82-bec7-64f408f9a56a
Anoka Technical College,b1175bde-35fa-4e3c-9acb-77af420dcbab
Anoka-Ramsey Community College,d7b8308a-cd74-46f5-afcd-be9a85eb4e3b
Antelope Valley College,ec9279c1-7084-46ae-bc43-eba7813f1a5c
Antioch College,7c8c85f9-9964-4524-b936-a3fb036190b7
Antioch University,caf85175-d4f3-4cd0-98ef-552d5bc3a9da
Antioch University New England,65a0535d-631e-42a3-afe8-e3e9b14f654b
Antonelli College - Hattiesburg,60af9d92-6bb8-48ae-b31f-c36a2868e5a6
Antonelli College - Jackson,5cac5ff5-c897-4c21-8c12-3b81272267a7
AOMA Graduate School of Integrative Medicine,8832f3c4-416d-48bc-b24e-80155fbea1e6
Appalachian Bible College,a92b9859-b7d8-4bbf-a7e9-cfe0808c92f6
Appalachian State University,841dcc06-90ca-4638-89fa-7cb926b0ec54
Applied Technology Services,4a3924d6-fc55-4c0a-afe9-831ee45012a2
Aquinas College - Michigan,7510b1cf-8898-4e08-9edc-18042f6977d8
Aquinas College - Nashville,f7de5294-bcc3-4a08-8cfc-63baa7dcabb6
Arapahoe Community College,3f82922a-0b06-453d-b695-8e5ae391b759
Arcadia University,1d6a4741-8e9f-4b04-a493-2b3832978556
Argosy University,b9d41132-5d9c-4f12-9582-bdcccee48e71
Argosy University - Atlanta,de8bfeea-41c5-49e1-a5f6-0456bb53b1fc
Argosy University - Hawaii,9cd0f4f9-4d04-43b8-8716-822a50b5b45c
Argosy University - Northern Virginia,49ec1f3a-84b6-4f0e-8055-de2a34419393
Argosy University - Online,64e1b9b8-1f6c-452b-9b30-67ee292abd61
Argosy University - Orange County,f5e40ce3-be90-400a-847c-2c4cf035c6eb
Argosy University - San Diego,13adee27-87e1-42e2-8124-3aeb6b571ee0
Argosy University - Tampa,37b5a642-3423-4d6c-a3e7-d9b117076deb
Argosy University - Twin Cities,5dd69d55-0b55-45a4-a658-8419b9eddeb5
Arizona Automotive Institute,87aab6f9-8e7e-4cc0-9dad-ba6e48f98895
Arizona Christian University,5d694e39-81c3-471b-950a-78218e757bfc
Arizona College - Glendale,f6f3b259-e109-458a-85e5-4e95050e891a
Arizona College - Mesa,546ab325-33bc-4bf9-8102-1084976d461c
Arizona College-Las Vegas,bef9478e-f419-46de-9540-80b72c2ca09c
Arizona Culinary Institute,0de81d9a-e12c-4af6-8f2c-a84fd0dc63c9
Arizona State University,b212d30a-2d53-42db-b405-ed141a637592
Arizona State University - Downtown Phoenix Campus,6b76715d-9465-4986-80f3-dd82e8a85b32
Arizona State University - Polytechnic Campus,c292e9d9-f4df-41bc-8f78-2ac9f4359dfd
Arizona State University - West Campus,d2661dbb-1f27-4182-9053-51b4fb5e9060
Arizona Western College,43e98e76-47a3-4f6b-9e41-011686b04468
Arkansas Baptist College,283171e9-c712-4670-a1e3-accd0cf3a80a
Arkansas Northeastern College,4bca1c8a-e7ce-4cbe-88f5-b7836593c791
Arkansas State University,20216e82-9cb8-4197-adb5-463787be0359
Arkansas State University - Beebe,b0ce2b0a-01f4-474a-8105-9a7c8aaeea26
Arkansas State University - Mountain Home,122bf2a2-9cf5-4ee0-a019-7705b757e57a
Arkansas State University - Newport,11537bab-a9ba-41b1-b63b-d58e545a8b55
Arkansas Tech University,e1611688-b9f6-4721-abb2-36e6fc6b31f3
Arlington Baptist University,76d188c6-d638-4c15-b3cc-edc601e55015
Art Academy of Cincinnati,e6715261-8c46-4c95-b1d4-016503e1ef3f
Art Center College of Design,18ac2a0a-5c23-406a-88ba-913f6fb99630
Arthur's Beauty College,ebc6cda8-aba4-47bd-813c-50679ac981b0
ASA College,3491f822-22e0-4814-83dd-84b345c415f0
Asbury University,1055a5cc-2b9a-4c13-87d0-9f5e4863dba8
Asher College - Sacramento,87724d8f-5c8e-474e-a9c8-48111a73bc90
Asheville-Buncombe Technical Community College,5658cf61-4424-4d58-b392-008a3affd692
Ashford University,760bd234-7862-4a3d-953b-23d131c71588
Ashland Community & Technical College,a7c6665c-98cd-478b-a6d0-2b01791c8b79
Ashland University,7c430f2d-150d-4910-a9ba-e05debe336d7
Asnuntuck Community College,c1fae845-15ea-4b79-8a07-40bc13da80e2
Aspen University,fae0adcc-7eed-4e99-ade1-2fd14d575195
Assumption College,9994e87e-0525-4598-8e28-d49b37c3d8fa
ATA College,83d10e14-8145-4104-ab63-9a2c1360d4fc
Athena Career Academy,a7de21fb-f62c-43d5-bf03-1680d4a65bdf
Athens State University,e12e384f-28ae-4755-8bbe-bb2a2b8314a4
Athens Technical College,c42962a0-3427-497c-821b-b01825a14301
ATI College - Norwalk,54fec95f-b041-4a72-ba64-0d69725024e7
Atlanta Beauty & Barber Academy,9987003e-81bf-4639-a997-ad7b53e1283d
Atlanta Institute of Music and Media,f5a0813d-d69a-43af-914d-5e0f5cd01f53
Atlanta Metropolitan State College,24f102de-bd5c-4646-b001-c0f36d5ced83
Atlanta School of Massage,c43dec68-7a65-460d-aa4c-fa0ea2ee30c9
